Date,Open,High,Low,Close
4/6/18,6777,6848,6512.79,6564.06
4/5/18,6794.31,6923.01,6574.3,6777
4/4/18,7418.53,7421.08,6707.5,6794.31
4/3/18,7049.99,7500,7016.87,7418.53
4/2/18,6811.02,7113.01,6766.84,7049.99
4/1/18,6920.5,7043.5,6442.49,6811.02
3/31/18,6838.71,7242.47,6788.51,6920.5
3/30/18,7086.6,7271.9,6600,6838.71
3/29/18,7941.87,7965,6903,7086.6
3/28/18,7794.46,8095,7749.53,7941.87
3/27/18,8149.46,8221.79,7753,7794.46
3/26/18,8457.04,8495.73,7827.95,8149.46
3/25/18,8540.33,8687.3,8375.5,8457.04
3/24/18,8925,9000,8500,8540.33
3/23/18,8710.44,8925.01,8288.01,8925
3/22/18,8902.53,9100,8494.62,8710.44
3/21/18,8904.23,9180,8755,8902.53
3/20/18,8599.01,9037,8327.35,8904.23
3/19/18,8197.29,8744.68,8119.7,8599.01
3/18/18,7870.99,8297,7319,8197.29
3/17/18,8265.81,8350,7737.49,7870.99
3/16/18,8266.99,8607.11,7900.01,8265.81
3/15/18,8198.82,8416.92,7675.35,8266.99
3/14/18,9146.18,9366.16,7932.65,8198.82
3/13/18,9105,9500,8850,9146.18
3/12/18,9530.94,9898,8760,9105
3/11/18,8769.2,9772.42,8544.95,9530.94
3/10/18,9257,9515.21,8731,8769.2
3/9/18,9295.77,9409.21,8370,9257
3/8/18,9884.26,10100,9050,9295.77
3/7/18,10696.87,10898.99,9375,9884.26
3/6/18,11400.01,11401.64,10563.93,10696.87
3/5/18,11467.19,11650.01,11400,11400.01
3/4/18,11433.72,11500,11060.01,11467.19
3/3/18,11027.77,11484.98,11026.91,11433.72
3/2/18,10900.95,11200,10779.44,11027.77
3/1/18,10296.86,11100,10200,10900.95
2/28/18,10562.46,11050,10260.85,10296.86
2/27/18,10300,10850,10117,10562.46
2/26/18,9595,10433.88,9399,10300
2/25/18,9697.21,9870,9290,9595
2/24/18,10161.62,10534.77,9388.97,9697.21
